iter	Passed	Remaining
0	60	60401
1	60	30397
2	61	20346
3	61	15292
4	62	12338
5	62	10379
6	63	8944
7	63	7855
8	63	7030
9	64	6350
10	64	5806
11	65	5352
12	65	4966
13	65	4630
14	66	4334
15	66	4085
16	66	3867
17	67	3664
18	67	3488
19	68	3334
20	68	3188
21	68	3055
22	69	2940
23	69	2828
24	69	2722
25	70	2626
26	70	2539
27	70	2460
28	71	2385
29	71	2317
30	72	2251
31	72	2189
32	72	2129
33	73	2075
34	73	2023
35	73	1972
36	73	1923
37	74	1880
38	74	1840
39	74	1799
40	75	1764
41	75	1728
42	76	1694
43	76	1664
44	76	1633
45	77	1604
46	77	1578
47	78	1550
48	78	1522
49	78	1496
50	79	1474
51	79	1451
52	80	1431
53	80	1408
54	80	1386
55	81	1366
56	81	1346
57	81	1327
58	82	1309
59	82	1290
60	82	1273
61	83	1257
62	83	1241
63	83	1224
64	84	1209
65	84	1194
66	84	1180
67	85	1165
68	85	1148
69	85	1135
70	85	1120
71	85	1108
72	86	1096
73	86	1085
74	87	1073
75	87	1063
76	87	1051
77	88	1040
78	88	1030
79	88	1019
80	88	1007
81	89	997
82	89	987
83	89	978
84	90	969
85	90	960
86	90	952
87	91	944
88	91	937
89	91	930
90	92	922
91	92	915
92	93	909
93	93	904
94	94	896
95	94	890
96	94	883
97	95	877
98	95	871
99	96	865
100	96	859
101	96	852
102	97	846
103	97	840
104	97	834
105	98	828
106	98	823
107	99	817
108	99	811
109	99	805
110	99	799
111	100	794
112	100	787
113	100	781
114	100	776
115	101	772
116	101	767
117	102	762
118	102	757
119	102	754
120	103	749
121	103	744
122	103	739
123	104	735
124	104	731
125	104	728
126	105	724
127	105	719
128	106	715
129	106	711
130	106	707
131	107	703
132	107	703
133	108	702
134	109	698
135	109	694
136	109	690
137	109	686
138	110	682
139	110	678
140	113	689
141	113	686
142	113	683
143	114	679
144	114	675
145	114	671
146	115	667
147	115	664
148	116	663
149	116	659
150	116	655
151	116	652
152	117	648
153	117	645
154	117	642
155	118	638
156	118	635
157	118	632
158	119	629
159	119	626
160	119	623
161	119	619
162	120	616
163	120	613
164	120	610
165	120	607
166	121	604
167	121	601
168	121	599
169	122	596
170	122	593
171	122	590
172	122	587
173	123	585
174	123	582
175	123	579
176	124	577
177	124	574
178	124	571
179	124	569
180	125	566
181	125	564
182	125	561
183	126	559
184	126	556
185	126	554
186	126	551
187	127	549
188	127	547
189	127	544
190	128	542
191	129	545
192	131	549
193	131	547
194	132	545
195	132	544
196	133	543
197	133	541
198	134	539
199	134	537
200	134	535
201	135	533
202	135	532
203	135	530
204	136	528
205	136	526
206	136	524
207	138	526
208	138	525
209	139	523
210	139	521
211	140	520
212	140	519
213	140	517
214	141	516
215	142	515
216	142	514
217	143	513
218	143	512
219	145	514
220	145	513
221	146	512
222	146	510
223	146	508
224	147	507
225	147	505
226	147	503
227	148	502
228	148	500
229	149	499
230	149	497
231	149	495
232	150	494
233	150	493
234	151	491
235	151	490
236	152	489
237	152	488
238	152	486
239	153	485
240	153	484
241	154	483
242	154	482
243	155	480
244	155	479
245	156	478
246	156	477
247	157	476
248	157	475
249	158	474
250	158	472
251	158	471
252	159	470
253	159	468
254	159	466
255	160	465
256	160	463
257	160	462
258	161	460
259	161	459
260	161	458
261	162	456
262	162	455
263	163	455
264	163	454
265	164	453
266	164	452
267	165	451
268	165	450
269	166	449
270	166	448
271	167	447
272	167	445
273	167	444
274	168	443
275	168	442
276	168	440
277	169	439
278	169	438
279	169	436
280	170	435
281	170	434
282	170	433
283	171	431
284	171	430
285	171	429
286	172	427
287	172	426
288	172	425
289	173	423
290	173	422
291	173	421
292	173	419
293	174	418
294	174	416
295	174	415
296	175	414
297	175	413
298	175	411
299	175	410
300	176	409
301	176	407
302	176	406
303	177	405
304	177	404
305	177	402
306	177	401
307	178	400
308	178	398
309	178	397
310	178	396
311	179	395
312	179	394
313	179	393
314	180	392
315	180	391
316	180	389
317	181	388
318	181	387
319	181	386
320	182	385
321	182	384
322	183	383
323	183	382
324	183	381
325	184	380
326	184	379
327	184	378
328	185	377
329	185	376
330	185	375
331	185	374
332	186	373
333	186	372
334	187	371
335	187	370
336	187	368
337	187	367
338	188	366
339	188	365
340	188	364
341	188	363
342	189	362
343	189	361
344	189	360
345	190	359
346	190	358
347	190	357
348	190	355
349	191	354
350	191	353
351	191	352
352	191	351
353	192	350
354	192	349
355	192	348
356	193	347
357	193	347
358	193	346
359	194	345
360	194	344
361	194	343
362	195	342
363	195	341
364	195	340
365	196	340
366	196	339
367	197	338
368	197	337
369	197	336
370	197	335
371	198	334
372	198	333
373	198	332
374	199	331
375	199	330
376	199	330
377	200	329
378	200	328
379	200	327
380	201	326
381	201	325
382	201	325
383	202	324
384	202	323
385	202	322
386	202	321
387	203	320
388	203	319
389	203	318
390	203	317
391	204	316
392	204	315
393	204	314
394	204	313
395	205	312
396	205	312
397	205	311
398	205	310
399	206	309
400	206	308
401	206	307
402	206	306
403	207	305
404	207	304
405	207	303
406	208	303
407	208	302
408	208	301
409	208	300
410	209	300
411	209	299
412	209	298
413	210	297
414	210	296
415	210	295
416	211	295
417	211	294
418	212	294
419	212	293
420	212	292
421	213	291
422	213	291
423	213	290
424	214	289
425	214	288
426	214	288
427	215	287
428	215	286
429	215	285
430	216	285
431	216	284
432	216	283
433	217	283
434	217	282
435	217	281
436	217	280
437	218	279
438	218	279
439	218	278
440	218	277
441	219	276
442	219	276
443	219	275
444	220	274
445	220	273
446	220	273
447	221	272
448	221	271
449	221	271
450	222	270
451	222	269
452	222	268
453	222	268
454	223	267
455	223	266
456	223	266
457	224	265
458	224	265
459	225	264
460	226	264
461	226	263
462	226	263
463	227	262
464	228	262
465	228	261
466	228	261
467	229	260
468	229	259
469	229	259
470	230	258
471	230	257
472	231	257
473	231	256
474	231	256
475	232	255
476	232	254
477	232	254
478	233	253
479	233	252
480	233	252
481	234	251
482	234	250
483	234	250
484	235	249
485	235	248
486	235	248
487	235	247
488	236	247
489	236	246
490	237	245
491	237	245
492	237	244
493	238	243
494	238	243
495	238	242
496	239	242
497	239	241
498	240	241
499	240	240
500	240	239
501	241	239
502	241	238
503	242	238
504	242	237
505	242	236
506	243	236
507	243	235
508	243	235
509	243	234
510	244	233
511	244	233
512	244	232
513	245	231
514	245	231
515	245	230
516	245	229
517	246	229
518	246	228
519	246	227
520	246	227
521	247	226
522	247	225
523	247	225
524	248	224
525	248	223
526	248	223
527	248	222
528	249	221
529	249	221
530	249	220
531	250	220
532	250	219
533	250	218
534	250	218
535	251	217
536	251	216
537	251	216
538	252	215
539	252	215
540	252	214
541	253	213
542	253	213
543	253	212
544	253	211
545	254	211
546	254	210
547	254	210
548	255	209
549	255	209
550	255	208
551	256	208
552	256	207
553	257	206
554	257	206
555	257	205
556	258	205
557	258	204
558	258	204
559	259	203
560	259	203
561	259	202
562	260	201
563	260	201
564	260	200
565	260	200
566	261	199
567	261	198
568	261	198
569	262	197
570	262	197
571	262	196
572	262	195
573	263	195
574	263	194
575	263	194
576	264	193
577	264	193
578	264	192
579	265	192
580	265	191
581	265	190
582	266	190
583	266	189
584	266	189
585	267	188
586	267	188
587	267	187
588	267	186
589	268	186
590	268	185
591	268	185
592	269	184
593	269	184
594	269	183
595	270	183
596	271	182
597	271	182
598	271	182
599	272	181
600	272	180
601	272	180
602	273	179
603	273	179
604	274	178
605	274	178
606	274	177
607	274	177
608	275	176
609	275	176
610	275	175
611	276	175
612	276	174
613	276	173
614	276	173
615	277	172
616	277	172
617	277	171
618	277	171
619	278	170
620	278	169
621	278	169
622	278	168
623	279	168
624	279	167
625	279	167
626	280	166
627	280	166
628	280	165
629	280	164
630	281	164
631	282	164
