iter	Passed	Remaining
0	58	57953
1	58	29147
2	58	19508
3	59	14701
4	59	11812
5	59	9894
6	60	8521
7	60	7495
8	60	6696
9	61	6062
10	61	5532
11	61	5093
12	62	4719
13	62	4399
14	62	4129
15	63	3890
16	63	3682
17	64	3496
18	64	3330
19	64	3177
20	65	3037
21	65	2910
22	65	2795
23	66	2688
24	66	2592
25	66	2503
26	67	2420
27	67	2346
28	67	2272
29	68	2204
30	68	2140
31	68	2083
32	69	2027
33	69	1977
34	69	1929
35	70	1881
36	70	1836
37	70	1794
38	71	1756
39	71	1720
40	72	1684
41	72	1648
42	72	1615
43	73	1587
44	73	1561
45	73	1532
46	74	1503
47	74	1478
48	74	1452
49	75	1428
50	75	1406
51	75	1385
52	76	1363
53	76	1341
54	76	1321
55	77	1302
56	77	1283
57	77	1265
58	78	1248
59	78	1231
60	78	1215
61	79	1200
62	79	1184
63	79	1169
64	80	1154
65	80	1139
66	80	1127
67	81	1114
68	81	1101
69	81	1089
70	82	1076
71	82	1064
72	82	1052
73	83	1042
74	83	1031
75	84	1022
76	84	1011
77	84	1000
78	84	990
79	85	981
80	85	973
81	86	965
82	86	954
83	86	945
84	87	937
85	87	929
86	87	920
87	88	912
88	88	903
89	88	895
90	88	887
91	89	880
92	89	872
93	89	865
94	90	858
95	90	851
96	90	844
97	91	838
98	91	832
99	91	825
100	92	819
101	92	813
102	92	807
103	93	801
104	93	795
105	93	789
106	94	785
107	94	779
108	94	774
109	95	769
110	95	763
111	95	758
112	96	753
113	96	749
114	96	744
115	96	739
116	97	733
117	97	729
118	97	724
119	98	720
120	98	716
121	98	711
122	99	707
123	99	702
124	99	698
125	100	695
126	100	690
127	100	686
128	101	682
129	101	678
130	101	674
131	102	670
132	102	666
133	102	663
134	103	660
135	103	657
136	103	653
137	104	650
138	104	646
139	104	643
140	105	640
141	105	636
142	105	633
143	105	630
144	106	626
145	106	623
146	106	620
147	107	617
148	107	614
149	107	611
150	108	608
151	108	606
152	108	602
153	109	599
154	109	596
155	109	593
156	110	590
157	110	588
158	110	585
159	111	582
160	111	579
161	111	577
162	111	574
163	112	571
164	112	569
165	112	566
166	113	564
167	113	561
168	113	559
169	114	557
170	114	555
171	114	553
172	115	551
173	115	548
174	115	546
175	116	544
176	116	542
177	117	540
178	117	538
179	117	536
180	118	534
181	118	532
182	118	530
183	119	528
184	119	526
185	119	524
186	120	522
187	120	521
188	120	519
189	121	517
190	121	515
191	121	513
192	122	511
193	122	509
194	122	507
195	123	505
196	123	503
197	123	501
198	124	499
199	124	497
200	124	495
201	125	494
202	125	492
203	125	490
204	126	488
205	126	486
206	126	485
207	127	483
208	127	481
209	127	480
210	128	478
211	128	477
212	128	475
213	128	473
214	129	472
215	129	470
216	130	469
217	130	467
218	130	465
219	130	463
220	131	462
221	131	460
222	131	459
223	132	457
224	132	456
225	132	454
226	133	453
227	133	451
228	133	450
229	134	448
230	134	447
231	134	446
232	135	444
233	135	443
234	135	441
235	136	440
236	136	439
